t,x,y
0,-1.352866244,-1.505560104
0.016744444,-1.353158715,-1.507218452
0.033488889,-1.354521681,-1.505873232
0.050244444,-1.354734706,-1.507580914
0.066988889,-1.354411334,-1.50877519
0.083733333,-1.35492012,-1.50910769
0.100477778,-1.356516935,-1.50775097
0.117222222,-1.356282633,-1.507428552
0.133977778,-1.356710571,-1.507523687
0.150722222,-1.356039163,-1.507291596
0.167466667,-1.356953081,-1.506812316
0.184211111,-1.359058597,-1.507164625
0.200955556,-1.358440738,-1.509118138
0.217711111,-1.357577792,-1.508663658
0.234455556,-1.358908094,-1.508408023
0.2512,-1.359501088,-1.509037383
0.267944444,-1.359414188,-1.510437075
0.284733333,-1.362233222,-1.510362614
0.301444444,-1.360867511,-1.51050298
0.318188889,-1.362243492,-1.510289087
0.334933333,-1.36265911,-1.510736932
0.351688889,-1.363154971,-1.512266176
0.368433333,-1.363243902,-1.512280446
0.385177778,-1.36414102,-1.510592861
0.401922222,-1.364602547,-1.510590653
0.418666667,-1.363990313,-1.510400248
0.435422222,-1.364349997,-1.51057498
0.452166667,-1.366603628,-1.509924943
0.468911111,-1.36566598,-1.510322255
0.485655556,-1.366951515,-1.510163372
0.5024,-1.367544155,-1.509332406
0.519155556,-1.36874918,-1.50885362
0.5359,-1.3688326,-1.508863257
0.552644444,-1.369320101,-1.510489372
0.569388889,-1.368976388,-1.510392649
0.586144444,-1.37060722,-1.510481257
0.602888889,-1.370368806,-1.510292874
0.619633333,-1.372075995,-1.510443594
0.636377778,-1.370407514,-1.511562381
0.653133333,-1.370874114,-1.512088942
0.669877778,-1.372182364,-1.512040898
0.686622222,-1.372081042,-1.511951154
0.703366667,-1.373413437,-1.511763607
0.720111111,-1.372486369,-1.51245222
0.736855556,-1.374101812,-1.512410096
0.753611111,-1.373685162,-1.513339899
0.770355556,-1.37360538,-1.511873928
0.7871,-1.375061729,-1.511799464
0.803844444,-1.373713766,-1.51186308
0.8206,-1.374257313,-1.512122892
0.837344444,-1.373795614,-1.512034201
0.854088889,-1.37380042,-1.512073988
0.870833333,-1.375749043,-1.511076202
0.887577778,-1.374517549,-1.510101073
0.904333333,-1.374725264,-1.510192178
0.921077778,-1.374410545,-1.510657107
0.937822222,-1.375122847,-1.510308343
0.954566667,-1.375301292,-1.51065976
0.971322222,-1.373994173,-1.510514118
0.988066667,-1.375571435,-1.510658928
1.004811111,-1.37512529,-1.5088249
1.021555556,-1.375631335,-1.50901308
1.038311111,-1.37515617,-1.508731902
1.055055556,-1.375901961,-1.509065471
1.0718,-1.375542275,-1.508907129
1.088544444,-1.375389346,-1.508933241
1.105288889,-1.37514893,-1.508692212
1.122044444,-1.375164723,-1.508520814
1.138788889,-1.376971118,-1.50727266
1.155533333,-1.377285789,-1.505896924
1.172277778,-1.378724642,-1.504064464
1.189022222,-1.376908113,-1.502471177
1.205777778,-1.370583664,-1.503998435
1.222522222,-1.365668677,-1.504178352
1.239266667,-1.356638966,-1.50741341
1.256011111,-1.349014548,-1.511379652
1.272755556,-1.341102992,-1.516891749
1.289511111,-1.329988856,-1.525986426
1.306255556,-1.320721718,-1.535941148
1.323,-1.308414475,-1.547353792
1.339744444,-1.296096354,-1.558421584
1.3565,-1.282602802,-1.571573903
1.373244444,-1.264774025,-1.585604275
1.389988889,-1.248592413,-1.598545239
1.406733333,-1.229996454,-1.613174917
1.423477778,-1.211765736,-1.625644665
1.440233333,-1.191623363,-1.638988619
1.456977778,-1.168544545,-1.652860919
1.473722222,-1.149529069,-1.664520558
1.490466667,-1.114478396,-1.690704014
1.507233333,-1.086015799,-1.708466729
1.523966667,-1.057918835,-1.751303543
1.540722222,-1.028161319,-1.767462498
1.557455556,-1.005399243,-1.767463418
1.574211111,-0.972115386,-1.784973918
1.590955556,-0.942717712,-1.799547543
1.6077,-0.912661042,-1.815498936
1.624444444,-0.868040309,-1.840182854
1.6412,-0.839760528,-1.856342728
1.657944444,-0.813029745,-1.866125904
1.674688889,-0.754921186,-1.88058254
1.691433333,-0.702401594,-1.884622509
1.708177778,-0.680971472,-1.879669236
1.724933333,-0.693481929,-1.906577001
1.741677778,-0.696912305,-1.918376394
1.758422222,-0.690981297,-1.90837489
1.775177778,-0.516563036,-1.961381913
1.791911111,-0.470600529,-1.971048437
1.808655556,-0.458230372,-1.974045945
1.825411111,-0.393516751,-1.985365127
1.842155556,-0.330724478,-1.989661694
1.8589,-0.301870909,-1.992841861
1.875644444,-0.24767977,-1.999237526
1.8924,-0.211781256,-2.002499502
1.909144444,-0.168645035,-2.00574917
1.925888889,-0.126501949,-2.00773741
1.942644444,-0.083847497,-2.007577276
1.959388889,-0.007526986,-2.005821568
1.976133333,0.038629671,-2.003238512
1.992877778,0.082767706,-2.000768458
2.009622222,0.113672073,-2.0017816
2.026377778,0.151033918,-1.998598027
2.043122222,0.200168475,-1.99379747
2.059866667,0.235105069,-1.988923422
2.076611111,0.279201431,-1.980997213
2.093355556,0.318587884,-1.972899208
2.110122222,0.352394822,-1.966544076
2.126855556,0.397618453,-1.956963135
2.1436,0.427140177,-1.95038867
2.160344444,0.469172295,-1.939247796
2.177088889,0.509556316,-1.928083652
2.193844444,0.543138434,-1.918455677
2.210588889,0.568994937,-1.910478888
2.227333333,0.613281375,-1.894380464
2.244077778,0.643700195,-1.883094702
2.260833333,0.673682513,-1.871792574
