t,x,y
0,-1.159890504,-1.639068387
0.016733333,-1.160152944,-1.639347606
0.033477778,-1.158635735,-1.640843367
0.050222222,-1.160009604,-1.640799194
0.066966667,-1.157035397,-1.642449297
0.083722222,-1.15831019,-1.642308806
0.100466667,-1.158255404,-1.642315239
0.117211111,-1.158842018,-1.642706206
0.133955556,-1.160527461,-1.642766738
0.1507,-1.161097892,-1.642348512
0.167455556,-1.160154391,-1.642557695
0.1842,-1.160089624,-1.642454966
0.200944444,-1.160172203,-1.642493053
0.217688889,-1.16014317,-1.642489674
0.234444444,-1.161187559,-1.642191947
0.251188889,-1.161263878,-1.642247533
0.267933333,-1.163157169,-1.642416809
0.284677778,-1.163132149,-1.642391993
0.301422222,-1.162904646,-1.64379638
0.318177778,-1.163123384,-1.643944525
0.334922222,-1.16330756,-1.644079392
0.351666667,-1.164328214,-1.643857015
0.368411111,-1.164947162,-1.644107425
0.385155556,-1.164680216,-1.644006801
0.401911111,-1.166507923,-1.64410217
0.418655556,-1.166151365,-1.645432308
0.4354,-1.166109455,-1.644004364
0.452144444,-1.166083518,-1.643733199
0.468888889,-1.166677625,-1.644128336
0.485644444,-1.164912887,-1.64559971
0.502388889,-1.166742308,-1.644193966
0.519133333,-1.166332889,-1.643953222
0.535877778,-1.164782201,-1.645542956
0.552633333,-1.164777255,-1.647179339
0.569377778,-1.165083096,-1.647364165
0.586122222,-1.163407989,-1.648901485
0.602866667,-1.164416018,-1.648763262
0.619622222,-1.163319256,-1.648912606
0.636366667,-1.164152989,-1.648693885
0.653111111,-1.163818455,-1.649205575
0.669855556,-1.163316448,-1.648994686
0.686611111,-1.162673706,-1.648652949
0.703355556,-1.161569251,-1.64886414
0.7201,-1.160452799,-1.649041584
0.736844444,-1.161093257,-1.648634251
0.753588889,-1.161012217,-1.648640805
0.770344444,-1.160683067,-1.649111822
0.787088889,-1.160318477,-1.649056519
0.803833333,-1.158727727,-1.649087797
0.820577778,-1.157511326,-1.648486547
0.837333333,-1.158614586,-1.649018718
0.854066667,-1.15814198,-1.648769002
0.870822222,-1.158403867,-1.648945156
0.887566667,-1.15711998,-1.650696013
0.904311111,-1.15826546,-1.650528674
0.921055556,-1.156614264,-1.652022982
0.937811111,-1.156748191,-1.652130152
0.954555556,-1.157348254,-1.652473398
0.9713,-1.156832597,-1.652258108
0.988044444,-1.156642526,-1.652067885
1.0048,-1.156690453,-1.652077644
1.021544444,-1.158259341,-1.650540475
1.038288889,-1.156919683,-1.652179353
1.055033333,-1.156546989,-1.652049897
1.071777778,-1.157983061,-1.65205872
1.088522222,-1.156815549,-1.652206264
1.105277778,-1.157809969,-1.65186865
1.122044444,-1.158377557,-1.652183885
1.138766667,-1.157751022,-1.651906213
1.155511111,-1.15820053,-1.652081195
1.172266667,-1.158115132,-1.652047341
1.189011111,-1.158594962,-1.652298342
1.205755556,-1.156969377,-1.653847462
1.2225,-1.156441807,-1.653610684
1.239255556,-1.158128297,-1.653662048
1.256,-1.159177343,-1.653569339
1.272744444,-1.156678975,-1.655322757
1.289488889,-1.158159763,-1.655344322
1.306233333,-1.157996314,-1.65527473
1.322988889,-1.158161446,-1.655281455
1.339733333,-1.158137504,-1.655254906
1.356477778,-1.159633604,-1.653714654
1.373233333,-1.15925985,-1.653581683
1.389966667,-1.159285488,-1.653590161
1.406722222,-1.159172296,-1.653638756
1.423466667,-1.158879615,-1.654085242
1.440211111,-1.15978806,-1.653823746
1.456955556,-1.158565505,-1.653930488
1.473711111,-1.159382541,-1.653702685
1.490455556,-1.156873277,-1.655492708
1.5072,-1.1536542,-1.657040761
1.523944444,-1.153536123,-1.657153717
1.540688889,-1.148552733,-1.660308141
1.557444444,-1.140382684,-1.665162095
1.574188889,-1.131078619,-1.67017041
1.590933333,-1.124179936,-1.673388518
1.607677778,-1.115612669,-1.678078542
1.624433333,-1.106754433,-1.683261932
1.641177778,-1.099479925,-1.686288186
