t,x,y
0,-0.262140468,-2.005151607
0.016755556,-0.262217945,-2.00479737
0.0335,-0.262854897,-2.004266646
0.050244444,-0.26329003,-2.003697753
0.066988889,-0.264934189,-2.003581609
0.083733333,-0.264961707,-2.003509882
0.100477778,-0.264837109,-2.003577656
0.117233333,-0.264798502,-2.003604537
0.133977778,-0.265694791,-2.004944164
0.150722222,-0.265062462,-2.005242017
0.167466667,-0.265208975,-2.005628699
0.184222222,-0.262884204,-2.006214358
0.200966667,-0.2628275,-2.006316085
0.217711111,-0.262860697,-2.006567819
0.234455556,-0.262186644,-2.006626949
0.2512,-0.262107499,-2.006678411
0.267955556,-0.260581051,-2.006134111
0.2847,-0.262284822,-2.005222619
0.301444444,-0.261950528,-2.005158509
0.318188889,-0.262582181,-2.004813179
0.334944444,-0.26252405,-2.004931934
0.351688889,-0.263003728,-2.003973165
0.368433333,-0.263400706,-2.003824211
0.385188889,-0.263413868,-2.003799628
0.401933333,-0.263886874,-2.003778924
0.418677778,-0.26499166,-2.003699326
0.435422222,-0.264061525,-2.003482408
0.452166667,-0.263326732,-2.003033978
0.468911111,-0.265484314,-2.002539702
0.485655556,-0.264478409,-2.002138928
0.502411111,-0.264747626,-2.002091836
0.519155556,-0.264874748,-2.001947743
0.5359,-0.265079699,-2.000788215
0.552644444,-0.26509202,-2.000617513
0.5694,-0.266353289,-2.000541568
0.586144444,-0.266538269,-2.000852891
0.602888889,-0.266485237,-2.001674753
0.619633333,-0.268616019,-2.002252652
0.636377778,-0.267805444,-2.002271936
0.653133333,-0.268024854,-2.00214613
0.669877778,-0.269949736,-2.00228232
0.686622222,-0.268244054,-2.002150452
0.703366667,-0.270241469,-2.002079077
0.720122222,-0.269882781,-2.002025123
0.736866667,-0.269589413,-2.000536984
0.753611111,-0.270979658,-1.999133262
0.770355556,-0.272155738,-1.997997049
0.7871,-0.271369165,-1.997339868
0.803855556,-0.271201324,-1.997010491
0.820611111,-0.271488153,-1.995935745
0.837344444,-0.271130032,-1.995587342
0.854088889,-0.271945543,-1.994284663
0.870833333,-0.270879389,-1.993734038
0.887588889,-0.271300885,-1.992674537
0.904344444,-0.270693725,-1.992723057
0.921088889,-0.271110006,-1.991975441
0.937822222,-0.271585283,-1.991292855
0.954577778,-0.271204067,-1.989895776
0.971322222,-0.270637198,-1.989596607
0.988066667,-0.269748066,-1.989941942
1.004811111,-0.266869717,-1.990131822
1.021555556,-0.262379083,-1.991220876
1.038311111,-0.258645714,-1.991377525
1.055055556,-0.255637635,-1.991893809
1.0718,-0.255760161,-1.991456708
1.088544444,-0.252942431,-1.991323396
1.1053,-0.253132593,-1.989850126
1.122044444,-0.250943725,-1.98973667
1.138788889,-0.246344124,-1.989769905
1.155533333,-0.240884693,-1.990025767
1.172288889,-0.236296655,-1.990355227
1.189033333,-0.230993723,-1.990964349
1.205777778,-0.225704449,-1.991410006
1.222522222,-0.222426613,-1.991961704
1.239266667,-0.219511188,-1.993116635
1.256022222,-0.215694822,-1.993164553
1.272766667,-0.212602234,-1.99331509
1.289511111,-0.209833609,-1.993317111
1.306255556,-0.201931248,-1.992936827
1.323011111,-0.196695547,-1.993085651
1.339755556,-0.190739617,-1.99430468
1.356511111,-0.18429152,-1.994504212
1.373244444,-0.17977448,-1.994782028
1.389988889,-0.172976435,-1.995564163
1.406744444,-0.167544249,-1.996013932
1.423488889,-0.162427879,-1.996192453
1.440244444,-0.157694358,-1.996140213
1.456977778,-0.151842211,-1.995936065
1.473733333,-0.145332225,-1.995935106
1.490477778,-0.137954695,-1.995922564
1.507222222,-0.13114026,-1.996142352
1.523977778,-0.124428783,-1.996049877
1.540711111,-0.119498052,-1.996502598
1.557455556,-0.112658328,-1.997271984
1.574211111,-0.105615026,-1.997850038
1.590955556,-0.100321511,-1.998484038
1.6077,-0.094824616,-1.998804187
1.624455556,-0.08766347,-1.998754699
1.6412,-0.080396755,-1.998901999
1.657944444,-0.072830761,-1.998912034
1.674688889,-0.064946024,-1.998906472
1.691433333,-0.06002217,-1.998979605
1.708188889,-0.053773583,-1.998889827
1.724933333,-0.047373472,-1.999169788
1.741677778,-0.0409691,-1.999105343
1.758422222,-0.03495309,-1.998945948
1.775166667,-0.02837936,-1.998954981
1.791922222,-0.02179572,-1.998204718
1.808666667,-0.0175719,-1.998848089
1.825411111,-0.010263271,-1.998815712
1.842155556,-0.003853696,-1.99893964
1.858911111,0.001157267,-1.999023217
1.875655556,0.008266202,-1.998805828
1.8924,0.01369523,-1.997971944
1.909144444,0.017269269,-1.997615882
1.925888889,0.023008611,-1.997278066
1.942644444,0.028523793,-1.997085941
1.959388889,0.033266046,-1.997038137
1.976133333,0.037727333,-1.997465581
1.992877778,0.042026518,-1.997435939
2.009622222,0.048546452,-1.997237837
2.026377778,0.053192544,-1.996329331
2.043122222,0.055972914,-1.996190439
2.059866667,0.059909638,-1.99622171
2.076611111,0.063858834,-1.995913613
2.093366667,0.066502858,-1.995788333
2.110111111,0.070671967,-1.994976721
2.126855556,0.073343941,-1.994745607
2.1436,0.077127992,-1.9946531
2.160344444,0.080042637,-1.994293309
2.1771,0.083450781,-1.993956124
2.193844444,0.085361771,-1.994285413
2.210588889,0.087953535,-1.994407997
2.227333333,0.088359508,-1.994619129
2.244088889,0.08972669,-1.994572444
2.260833333,0.092937204,-1.994451072
2.277577778,0.091151706,-1.994155112
2.294322222,0.094174559,-1.994087424
2.311066667,0.095044896,-1.993474897
2.327833333,0.098010074,-1.993147838
2.344566667,0.098215186,-1.992989745
2.361311111,0.097313745,-1.993022687
2.378055556,0.096961504,-1.992971
2.394811111,0.095345341,-1.992889221
2.411555556,0.094253109,-1.993098635
2.4283,0.09508512,-1.993426081
2.445044444,0.094277346,-1.993168219
2.461788889,0.093605232,-1.9929427
2.478544444,0.092899954,-1.992828442
