t,x,y
0,-1.372276646,-1.473754971
0.016744444,-1.371188363,-1.474023158
0.033533333,-1.371583095,-1.473386595
0.050244444,-1.371868819,-1.473517962
0.066977778,-1.372283857,-1.47543643
0.083733333,-1.372244343,-1.475336049
0.100477778,-1.370817439,-1.47690346
0.117233333,-1.372298655,-1.475415448
0.133977778,-1.372241263,-1.475290761
0.150722222,-1.372324533,-1.475347316
0.167466667,-1.372380835,-1.47534631
0.184211111,-1.372547441,-1.474053784
0.200955556,-1.372434661,-1.473892612
0.217711111,-1.372467016,-1.473809985
0.234455556,-1.372662502,-1.4724369
0.2512,-1.37268891,-1.472711258
0.267944444,-1.374065751,-1.472416233
0.284688889,-1.372384247,-1.473690958
0.301444444,-1.373568168,-1.473450632
0.318188889,-1.374036206,-1.473885234
0.334933333,-1.374309572,-1.472844623
0.351677778,-1.375772983,-1.47266149
0.368433333,-1.374068493,-1.473778508
0.385166667,-1.374992125,-1.473179301
0.401922222,-1.374867757,-1.473018898
0.418666667,-1.375415372,-1.473578037
0.435411111,-1.374280401,-1.473960278
0.452166667,-1.374113263,-1.4739057
0.468911111,-1.373992891,-1.473837323
0.485655556,-1.37402394,-1.473816593
0.5024,-1.374015275,-1.473890012
0.519155556,-1.37375562,-1.473545703
0.5359,-1.373925227,-1.473508758
0.552644444,-1.373943373,-1.472173254
0.569388889,-1.374350363,-1.471049105
0.586144444,-1.373889106,-1.47033143
0.602888889,-1.374055792,-1.46920548
0.619633333,-1.374188827,-1.469165378
0.636377778,-1.373905623,-1.468679147
0.653122222,-1.374101056,-1.468952971
0.669877778,-1.3739328,-1.468758974
0.686622222,-1.375549344,-1.467259508
0.703366667,-1.376064497,-1.467969251
0.720111111,-1.376838143,-1.466957221
0.736855556,-1.375798967,-1.467672358
0.753611111,-1.375596143,-1.468929833
0.770355556,-1.375723777,-1.469174117
0.7871,-1.375666529,-1.470525803
0.803844444,-1.375450077,-1.470402294
0.820588889,-1.375682841,-1.470587902
0.837344444,-1.37575544,-1.469397116
0.854088889,-1.375361881,-1.470256046
0.870833333,-1.375537823,-1.470534343
0.887577778,-1.37579759,-1.470794152
0.904333333,-1.375589273,-1.469033305
0.921077778,-1.375651869,-1.467550301
0.937822222,-1.376109565,-1.467999148
0.954566667,-1.375308845,-1.466992906
0.971311111,-1.375378707,-1.467143561
0.988066667,-1.375452663,-1.467221985
1.004811111,-1.373985854,-1.467367992
1.021555556,-1.373815148,-1.468439406
1.038311111,-1.37459717,-1.469596834
1.055055556,-1.374074908,-1.469231851
1.0718,-1.372335914,-1.470280779
1.088544444,-1.372299659,-1.471526851
1.1053,-1.372154591,-1.471804478
1.122033333,-1.372650144,-1.472817309
1.138788889,-1.372611616,-1.472718948
1.155533333,-1.368087961,-1.474522031
1.172277778,-1.359022809,-1.477798701
1.189022222,-1.354756494,-1.477300157
1.205766667,-1.347999018,-1.4764144
1.222522222,-1.342603502,-1.474757579
1.239266667,-1.338589033,-1.47394315
1.256011111,-1.333496741,-1.475210118
1.272755556,-1.33005493,-1.478295545
1.2895,-1.325718257,-1.483611977
1.306255556,-1.32020419,-1.491236108
1.323,-1.309844204,-1.503098261
1.339744444,-1.297886381,-1.515588071
1.356488889,-1.280488139,-1.531992201
1.373244444,-1.259807919,-1.549963449
1.389988889,-1.240465971,-1.566215009
1.406733333,-1.221179524,-1.582276603
1.423477778,-1.199807766,-1.596530039
1.440233333,-1.183558188,-1.607825232
1.456977778,-1.164019146,-1.620678976
1.473722222,-1.141850339,-1.637003326
1.490466667,-1.115724379,-1.652996451
1.507222222,-1.091697908,-1.672978686
1.523966667,-1.059193738,-1.693860379
1.540711111,-1.027700324,-1.712217424
1.557455556,-0.993854862,-1.731540863
1.5742,-0.960106135,-1.750682154
1.590955556,-0.927903652,-1.766489229
1.6077,-0.894718239,-1.783017473
1.624444444,-0.863716224,-1.798402537
1.641188889,-0.883450596,-1.866989645
1.657933333,-0.792489061,-1.827954285
1.674688889,-0.752184824,-1.851062908
1.691433333,-0.717592924,-1.860031178
1.708177778,-0.672362594,-1.874252852
1.724922222,-0.639252678,-1.90964108
1.741666667,-0.589241523,-1.925788794
1.758422222,-0.555332463,-1.935466901
1.775166667,-0.506229371,-1.948299999
1.791911111,-0.464748325,-1.958026274
1.808666667,-0.417918507,-1.967715071
1.825411111,-0.37484158,-1.975855518
1.842155556,-0.3105283,-1.985481941
1.8589,-0.269878987,-1.990325888
1.875644444,-0.228353022,-1.995184728
1.8924,-0.166683335,-2.001621718
1.909144444,-0.117545779,-2.004663508
1.925888889,-0.071766866,-2.006523917
1.942644444,-0.023871374,-2.007168995
1.959377778,0.024044965,-2.007074962
1.976133333,0.072473455,-2.005438855
1.992877778,0.103945578,-2.011733887
2.009622222,0.142181716,-2.010072874
2.026377778,0.216660411,-2.003900315
2.043111111,0.245741062,-2.000508584
2.059866667,0.281625369,-1.995564333
2.076611111,0.32596432,-1.987524852
2.093355556,0.386881812,-1.974746702
2.1101,0.417937647,-1.968120699
2.126855556,0.45128622,-1.960065041
2.1436,0.505925737,-1.947301405
2.160344444,0.53641479,-1.939380216
2.1771,0.576596414,-1.92804978
2.193844444,0.610764709,-1.918302825
2.210588889,0.646714545,-1.905391658
2.227333333,0.684142322,-1.891129668
2.244077778,0.73215709,-1.873113565
2.260822222,0.751157455,-1.86498146
2.277577778,0.783523772,-1.850321211
2.294322222,0.817734309,-1.834309913
2.311066667,0.843457944,-1.797184003
2.327811111,0.874295157,-1.782812719
2.344555556,0.8998112,-1.768082576
2.361311111,0.920445194,-1.756419122
2.378055556,0.957580223,-1.760664873
2.3948,0.962145114,-1.724145744
2.411555556,0.985470549,-1.711679098
2.4283,1.005732698,-1.698510824
2.445044444,1.023517274,-1.688388706
2.461788889,1.039439052,-1.675906965
2.478533333,1.054843851,-1.666434607
2.495288889,1.068401793,-1.656354977
2.512033333,1.082129981,-1.648475803
2.528777778,1.096273285,-1.638702536
2.545522222,1.108805129,-1.63050691
2.562266667,1.119901929,-1.6222885
2.579022222,1.129486597,-1.615711314
2.595766667,1.136159284,-1.610929152
2.612511111,1.141390226,-1.60813771
2.629255556,1.148029779,-1.605101285
2.646,1.150295909,-1.601203121
2.662755556,1.153011226,-1.600380661
2.6795,1.154436731,-1.598604692
2.696244444,1.154966651,-1.59883452
2.712988889,1.155494415,-1.598334628
2.729733333,1.153014719,-1.600174562
2.746488889,1.149633199,-1.603513931
2.763233333,1.144827747,-1.606847514
2.779977778,1.139649062,-1.609827847
2.796733333,1.133968994,-1.614620384
2.813477778,1.123664312,-1.621081845
2.830222222,1.113890294,-1.629042241
2.846966667,1.102811003,-1.638734322
2.863711111,1.092790203,-1.645171277
2.880466667,1.077847364,-1.656039277
2.897211111,1.063194867,-1.665371585
2.913955556,1.046614245,-1.677557092
2.9307,1.028855376,-1.68891073
2.947455556,1.012574222,-1.700080516
2.9642,0.991573196,-1.711508166
2.980944444,0.971629531,-1.724036965
2.997688889,0.947324269,-1.736944409
3.014433333,0.925477469,-1.748515098
3.031177778,0.902801529,-1.765229764
3.047933333,0.877775808,-1.778477857
3.064677778,0.848656988,-1.792873165
3.081422222,0.818248029,-1.806764885
3.098166667,0.789146266,-1.821120279
3.114966667,0.757739718,-1.836060262
3.131666667,0.715640992,-1.851962696
3.148411111,0.680973133,-1.86762067
3.165155556,0.644270105,-1.879095837
3.181911111,0.611971676,-1.890310192
3.198655556,0.575248248,-1.903265624
3.2154,0.540011058,-1.914699639
3.232155556,0.502002337,-1.924142536
3.2489,0.463183013,-1.933732479
3.265644444,0.41782016,-1.945218781
3.282388889,0.364144374,-1.961520084
3.299133333,0.339733747,-1.966301471
3.315877778,0.284424667,-1.975948557
3.332622222,0.247698216,-1.982431471
3.349377778,0.195243401,-1.966084975
3.366122222,0.140464707,-1.98434454
3.382866667,0.099380687,-2.007168995
3.399611111,0.067426449,-2.002604104
3.416366667,0.008082864,-2.011733887
3.433111111,-0.037566048,-2.002604104
3.449855556,-0.078650068,-1.993474322
3.4666,-0.133428762,-1.993474322
3.483344444,-0.172095476,-1.991781031
3.5001,-0.20646702,-1.998039213
3.516844444,-0.265810605,-1.998039213
3.533588889,-0.295557608,-1.995155387
3.550333333,-0.361673319,-1.970649866
3.567088889,-0.40275734,-1.966084975
3.583833333,-0.430146686,-1.979779649
3.600577778,-0.453949823,-1.972242596
3.617322222,-0.45708924,-2.026679053
3.634066667,-0.544268965,-1.929565846
3.650822222,-0.594482768,-1.929565846
3.667566667,-0.641917044,-1.908841356
3.684311111,-0.694910373,-1.874787152
3.701055556,-0.708605047,-1.861092479
3.717811111,-0.754253958,-1.874787152
3.734555556,-0.795337978,-1.851962696
3.7513,-0.831857108,-1.847397805
3.768044444,-0.868376237,-1.829138241
3.784788889,-0.900963269,-1.814678953
3.801544444,-0.93408707,-1.800051668
3.818288889,-0.961697543,-1.785370005
3.835033333,-0.993468944,-1.769247827
3.851777778,-1.020748748,-1.755278187
3.868533333,-1.037277209,-1.724145744
3.885277778,-1.060452339,-1.709639089
3.902022222,-1.085387539,-1.695198915
3.918766667,-1.118194142,-1.722711124
3.935522222,-1.128575032,-1.678496833
3.952266667,-1.148330049,-1.664238429
3.969011111,-1.167340459,-1.651084878
3.985755556,-1.186612258,-1.636537577
4.002511111,-1.202688036,-1.625158275
4.019255556,-1.217957338,-1.614379338
4.036,-1.230411629,-1.604297096
4.052744444,-1.244040851,-1.594094415
4.069511111,-1.256687394,-1.585296831
4.086233333,-1.266986264,-1.576508192
4.102988889,-1.275759706,-1.569085535
4.119733333,-1.28211763,-1.563798635
4.136477778,-1.290031569,-1.559247666
4.153222222,-1.295780092,-1.555804978
4.169966667,-1.299433941,-1.554162029
4.186722222,-1.302129894,-1.552504428
4.203466667,-1.303166606,-1.552499842
4.220211111,-1.303332395,-1.552713036
4.236955556,-1.302535568,-1.553849969
4.253711111,-1.301235803,-1.55442806
4.270455556,-1.297735102,-1.557123238
4.2872,-1.293442494,-1.560932186
4.303944444,-1.287565677,-1.565231238
4.320688889,-1.28195214,-1.570378681
4.337444444,-1.27532099,-1.576892237
4.354188889,-1.264064144,-1.584928485
4.370933333,-1.25261238,-1.591311479
4.387677778,-1.239882602,-1.600984012
4.404433333,-1.226810721,-1.61224204
4.421177778,-1.214085723,-1.622065615
4.437922222,-1.19631607,-1.634875517
4.454666667,-1.178819696,-1.647957064
4.471411111,-1.159613347,-1.662613126
4.488166667,-1.138354049,-1.676918222
4.504911111,-1.116902834,-1.691261043
4.521655556,-1.100063683,-1.702827385
4.5384,-1.11017608,-1.738305539
4.555155556,-1.041483151,-1.736400396
4.5719,-1.018638062,-1.749256208
4.588644444,-0.989544014,-1.765278359
4.605388889,-0.964238951,-1.78805422
4.622133333,-0.93452658,-1.802441771
4.638877778,-0.903300008,-1.817191914
4.655633333,-0.868967775,-1.831767274
4.672377778,-0.836777036,-1.846190401
4.689122222,-0.800308162,-1.862345371
4.705866667,-0.764125583,-1.876816654
4.722622222,-0.727005715,-1.891263355
4.739366667,-0.691645662,-1.90433785
4.756111111,-0.651023085,-1.917155729
4.772855556,-0.620930322,-1.926943819
4.7896,-0.570323316,-1.941372488
4.806355556,-0.528103502,-1.952403723
4.8231,-0.487214853,-1.962373773
4.839844444,-0.443207702,-1.97211084
4.8566,-0.393627557,-1.970649866
4.873344444,-0.349875553,-1.978032645
4.890088889,-0.316024408,-1.979779649
4.906833333,-0.270529854,-1.985983763
4.923577778,-0.233208159,-1.990463163
4.940333333,-0.193065261,-1.996186218
4.957077778,-0.149140466,-2.000227118
4.973822222,-0.106039415,-1.998039213
4.990566667,-0.06128744,-1.999826418
5.007322222,-0.021762259,-1.999396475
5.024066667,0.03090732,-1.998039213
5.040811111,0.070149388,-1.996732721
5.057555556,0.111757672,-1.995070576
5.074311111,0.167854054,-1.998039213
5.091044444,0.202631314,-1.994446324
5.1078,0.223987093,-2.021124358
5.124544444,0.295671006,-1.975214757
5.141344444,0.336245581,-1.968799347
5.158033333,0.374258489,-1.961977059
5.174788889,0.417798272,-1.952515554
5.191533333,0.454199847,-1.944560859
5.208277778,0.495185576,-1.934869417
5.225022222,0.535956124,-1.925176539
5.241766667,0.571710059,-1.913819531
5.258522222,0.601558429,-1.904032267
5.275266667,0.639668628,-1.891518579
5.292011111,0.670982024,-1.879772093
5.308755556,0.688251645,-1.870222261
5.325511111,0.721185698,-1.857554855
5.342255556,0.751993393,-1.846255291
5.359,0.779015277,-1.834596136
5.375744444,0.810591237,-1.822007178
5.392488889,0.838160722,-1.808883033
5.409244444,0.864878516,-1.796496895
5.425988889,0.885133948,-1.786191687
5.442733333,0.910059116,-1.775318066
5.459477778,0.932316413,-1.763979965
5.476233333,0.948080662,-1.757312793
5.492977778,0.967365352,-1.747259516
5.509722222,0.98966314,-1.736233611
5.526466667,1.006510556,-1.728515286
5.543222222,1.020944953,-1.720312115
5.559966667,1.033614487,-1.71348019
5.576711111,1.049355606,-1.70539432
5.593466667,1.060062801,-1.699360349
5.6102,1.070219936,-1.692483515
5.626955556,1.080219229,-1.6876125
5.6437,1.089009107,-1.684551244
5.660444444,1.09618746,-1.681109027
5.677188889,1.102809474,-1.678234281
5.693933333,1.105727115,-1.67611968
5.710677778,1.107862118,-1.674751541
5.727433333,1.1111329,-1.674849363
5.744177778,1.112037563,-1.673259042
5.760922222,1.112125008,-1.674835492
5.777677778,1.110647849,-1.676349604
5.794422222,1.1081406,-1.679881463
5.811166667,1.104802915,-1.68319492
5.827922222,1.09836687,-1.687894786
5.844666667,1.092300572,-1.691767789
5.861411111,1.083398244,-1.697737332
5.878233333,1.077560104,-1.702882941
5.8949,1.064575435,-1.710694023
5.911644444,1.05499591,-1.719024457
5.928388889,1.03943122,-1.728260824
5.945144444,1.028139186,-1.736379897
5.961888889,1.012433616,-1.747220946
5.978633333,0.996466433,-1.757358111
5.995388889,0.977481675,-1.768481536
6.012133333,0.958357118,-1.779896056
6.028877778,0.94195786,-1.787943645
6.045622222,0.92201394,-1.799266996
