t,x,y
1.574211111,-0.316072883,-1.991628181
1.590955556,-0.308875846,-1.99177952
1.6077,-0.305179008,-1.991652829
1.624444444,-0.307845608,-1.990217428
1.641188889,-0.308883401,-1.990837589
1.657944444,-0.311320309,-1.990773827
1.674688889,-0.311589602,-1.991644272
1.691433333,-0.305811955,-1.992826708
1.708188889,-0.295820428,-1.993106249
1.724933333,-0.285472283,-1.993646847
1.741677778,-0.273818977,-1.994498429
1.758422222,-0.266701966,-1.995983513
1.775166667,-0.262440423,-1.995822411
1.791911111,-0.260560827,-1.995941374
1.808655556,-0.260076849,-1.996678552
1.825411111,-0.257915318,-1.996428268
1.842155556,-0.253299301,-1.996585268
1.8589,-0.24444575,-1.996536312
1.875644444,-0.234307542,-1.997909103
1.8924,-0.220897103,-1.999601176
1.909144444,-0.208234068,-1.99970631
1.925888889,-0.199644891,-2.000367108
1.942644444,-0.193477167,-2.000807579
1.959388889,-0.190143598,-2.000895748
1.976133333,-0.184800386,-2.001142791
1.992877778,-0.180650502,-2.000980001
2.009622222,-0.167822555,-2.001137237
2.026366667,-0.157775174,-2.001291164
2.043122222,-0.146384912,-2.002595598
2.059866667,-0.13282222,-2.002877711
2.076611111,-0.124385881,-2.003071352
2.093366667,-0.113035624,-2.004097525
2.110111111,-0.106234416,-2.004052301
2.126855556,-0.101119273,-2.00433648
2.1436,-0.093902331,-2.005412006
2.160355556,-0.086395264,-2.005896877
2.1771,-0.076754262,-2.005672449
2.193844444,-0.065370705,-2.005547687
2.210588889,-0.051217336,-2.005761128
2.227333333,-0.03721879,-2.004769582
2.244077778,-0.026068025,-2.005555647
2.260833333,-0.017982459,-2.00603844
2.277577778,-0.011523786,-2.005917651
2.294322222,-0.002543777,-2.006000946
2.311066667,9.93E-04,-2.007263737
2.327822222,0.013261784,-2.006284222
2.344566667,0.023562623,-2.00599495
2.361311111,0.033398265,-2.005714916
2.378055556,0.043204891,-2.00566921
2.394811111,0.053379382,-2.005892312
2.411566667,0.063003933,-2.005678468
2.4283,0.071989391,-2.005780626
2.445044444,0.080219054,-2.004580656
2.461788889,0.085123947,-2.004417913
2.478533333,0.091264392,-2.004506392
2.495288889,0.098631541,-2.004326999
2.512033333,0.108270853,-2.004102654
2.528777778,0.118364614,-2.002753596
2.545522222,0.128239807,-2.001529393
2.562277778,0.135510626,-2.001554315
2.579022222,0.141725407,-2.001108445
2.595766667,0.146331329,-2.00110827
2.612511111,0.150361438,-2.001106788
2.629255556,0.15702086,-1.999793329
2.646011111,0.160691318,-2.000001436
2.662755556,0.165654697,-2.000695832
2.6795,0.171700786,-2.000947353
2.696244444,0.17671418,-2.000074611
2.713,0.183810047,-1.999782202
2.729766667,0.187211768,-1.999480571
2.746488889,0.191179265,-1.999451425
2.763233333,0.194797254,-1.999560601
2.779977778,0.195754213,-1.999677895
2.796733333,0.19602992,-1.999911723
2.813477778,0.198138481,-1.999573481
2.830222222,0.200928287,-1.999066592
2.846966667,0.204865747,-1.998228033
2.863722222,0.206476734,-1.997823657
2.880466667,0.209186295,-1.997881805
2.897211111,0.212843714,-1.996601828
2.913955556,0.212815037,-1.996515146
2.9307,0.211757355,-1.996648094
2.947455556,0.208974344,-1.996455008
2.9642,0.20731948,-1.996757084
2.980944444,0.205333093,-1.996438983
2.997688889,0.205151418,-1.996412507
3.014444444,0.2051847,-1.996793555
3.031188889,0.204533602,-1.996681798
3.047933333,0.203812251,-1.996467425
3.064677778,0.202575713,-1.996465198
