t,x,y
0,-1.440935586,-1.414252267
0.016744444,-1.440886323,-1.420941962
0.0335,-1.444368137,-1.424970836
0.050244444,-1.444183801,-1.426386235
0.066988889,-1.442348009,-1.427751303
0.083733333,-1.442298102,-1.427814471
0.100477778,-1.441438363,-1.428861083
0.117233333,-1.440562766,-1.431131099
0.133977778,-1.441077,-1.431845302
0.150722222,-1.440459727,-1.431425683
0.167466667,-1.439148135,-1.43138147
0.184211111,-1.43752481,-1.431379609
0.200966667,-1.437871682,-1.43196786
0.217711111,-1.437895577,-1.435307785
0.234455556,-1.437854194,-1.438889655
0.2512,-1.437505418,-1.440358204
0.267944444,-1.437678032,-1.442364052
0.2847,-1.436939655,-1.441177824
0.301444444,-1.435911993,-1.440729546
0.318188889,-1.434003164,-1.440016684
0.334944444,-1.434226846,-1.438589669
0.351688889,-1.432655124,-1.438748065
0.368433333,-1.431999854,-1.438048672
0.385177778,-1.432168197,-1.438391765
0.401922222,-1.430672773,-1.436875935
0.418666667,-1.430534038,-1.435235655
0.435422222,-1.430025153,-1.434500563
0.452166667,-1.430556719,-1.435156817
0.468911111,-1.430821691,-1.436980442
0.485655556,-1.430807267,-1.435887952
0.502411111,-1.430646249,-1.436785421
0.519155556,-1.430634472,-1.435296273
0.5359,-1.427952387,-1.434188463
0.552644444,-1.425969612,-1.433639752
0.5694,-1.424143559,-1.433632069
0.586144444,-1.423802077,-1.435138909
0.602888889,-1.42369897,-1.436786491
0.619633333,-1.42194072,-1.438389592
0.636377778,-1.421529887,-1.438195061
0.653122222,-1.420003265,-1.438225237
0.669888889,-1.420013915,-1.438299004
0.686622222,-1.416515744,-1.438158096
0.703366667,-1.418265862,-1.436744925
0.720111111,-1.416311115,-1.438280836
0.736866667,-1.414626425,-1.436501971
0.753611111,-1.413368638,-1.436804444
0.770355556,-1.411678768,-1.435243545
0.7871,-1.409886896,-1.433486856
0.803855556,-1.40988875,-1.43342804
0.8206,-1.40813689,-1.436855676
0.837344444,-1.407944284,-1.436846584
0.854088889,-1.404793951,-1.436850413
0.870833333,-1.404493617,-1.434946556
0.887588889,-1.403042244,-1.435105356
0.904333333,-1.401151041,-1.435036797
0.921077778,-1.402328434,-1.436330808
0.937822222,-1.399202583,-1.438023915
0.954566667,-1.397608061,-1.436809736
0.971322222,-1.395559938,-1.433068632
0.988066667,-1.39069161,-1.433281115
1.004811111,-1.391706069,-1.429356225
1.021555556,-1.389035558,-1.433180458
1.038311111,-1.387718181,-1.433684452
1.055055556,-1.385929652,-1.433860823
1.0718,-1.383839492,-1.433405047
1.088544444,-1.382034453,-1.431534924
1.1053,-1.380606363,-1.430039633
1.122044444,-1.380382817,-1.429992244
1.138788889,-1.379366301,-1.43201659
1.155533333,-1.376669347,-1.433130366
1.172277778,-1.371916232,-1.431694637
1.189033333,-1.364759027,-1.433352882
1.205777778,-1.354442918,-1.438443454
1.222522222,-1.342542164,-1.449231554
1.239266667,-1.330668132,-1.461472897
1.256022222,-1.318238521,-1.475046969
1.272755556,-1.308046874,-1.489428748
1.289511111,-1.295364776,-1.499096454
1.306255556,-1.286301993,-1.503960703
1.323,-1.278162659,-1.509517463
1.339755556,-1.271204776,-1.51485883
1.3565,-1.259907372,-1.523963992
1.373244444,-1.245172623,-1.533735133
1.389988889,-1.228299205,-1.54962192
1.406733333,-1.206446015,-1.568048136
1.423488889,-1.18092171,-1.589035473
1.440233333,-1.156636894,-1.611563888
1.456977778,-1.132112742,-1.630427695
1.473722222,-1.108306249,-1.647968664
1.490477778,-1.087936816,-1.662077735
1.507222222,-1.062171531,-1.679422761
1.523966667,-1.038357912,-1.694566434
1.540711111,-1.013556494,-1.710293425
1.557455556,-0.982442571,-1.756964309
1.574211111,-0.949505126,-1.775999736
1.590955556,-0.914341856,-1.796427205
1.6077,-0.850208401,-1.807524433
1.624444444,-0.850429447,-1.861548783
1.641188889,-0.784381907,-1.840067105
1.657944444,-0.746913805,-1.856281162
1.674688889,-0.71408499,-1.885309239
1.691433333,-0.651857145,-1.924201642
1.708177778,-0.616853982,-1.947537084
1.724933333,-0.566293858,-1.935869363
1.741677778,-0.527401455,-1.978651006
1.758422222,-0.490952374,-1.989175083
1.775166667,-0.434059688,-1.998097208
1.791922222,-0.390749863,-2.010192547
1.808666667,-0.346228536,-2.022376508
1.825411111,-0.304495583,-2.031040603
1.842155556,-0.243486913,-2.044768091
1.8589,-0.19162688,-2.051721286
1.875655556,-0.134642995,-2.058622525
1.8924,-0.084144415,-2.063867513
1.909144444,-0.042396271,-2.069039753
1.925888889,-6.04E-04,-2.07265728
1.942633333,0.063763071,-2.068103533
1.959388889,0.099035038,-2.06799318
1.976133333,0.167144247,-2.064593027
1.992877778,0.219630095,-2.061124092
2.009622222,0.258225087,-2.056435812
2.026366667,0.339899133,-2.052546572
2.043122222,0.385264147,-2.045695986
2.059866667,0.426288443,-2.038331908
2.076611111,0.471841019,-2.028465675
2.093355556,0.51686,-2.018083224
2.110111111,0.558520294,-2.005454433
