t,x,y
0,-1.283056371,-1.568001441
0.016744444,-1.2832769,-1.568211345
0.033488889,-1.281995512,-1.569874561
0.050244444,-1.282991514,-1.569766922
0.066988889,-1.28152983,-1.571410582
0.083733333,-1.28278168,-1.571332483
0.100488889,-1.281432595,-1.571503408
0.117222222,-1.281448237,-1.571448217
0.133977778,-1.283078249,-1.569911621
0.150722222,-1.283663544,-1.568764665
0.167466667,-1.282493756,-1.567827228
0.184211111,-1.28321125,-1.567925641
0.200966667,-1.283372518,-1.56665053
0.217711111,-1.283135389,-1.566485534
0.234455556,-1.284037659,-1.566162814
0.2512,-1.283691418,-1.566846324
0.267944444,-1.283192342,-1.568107444
0.2847,-1.283248542,-1.568217971
0.301444444,-1.283642119,-1.568491546
0.318188889,-1.284716925,-1.568049313
0.334933333,-1.285004828,-1.56815993
0.351688889,-1.284830286,-1.56804127
0.368433333,-1.286398685,-1.566306232
0.385177778,-1.286010109,-1.565946327
0.401922222,-1.285784209,-1.564107924
0.418677778,-1.287330525,-1.563150424
0.435422222,-1.287770102,-1.563972468
0.452166667,-1.287730153,-1.562696831
0.468911111,-1.288265066,-1.562949273
0.485655556,-1.290077047,-1.563001234
0.502411111,-1.290749025,-1.563462501
0.519155556,-1.291400534,-1.562782879
0.5359,-1.291932577,-1.563120803
0.552644444,-1.29234909,-1.563307502
0.569388889,-1.293537689,-1.562987448
0.586144444,-1.294121216,-1.563119615
0.602888889,-1.294709612,-1.562720808
0.619633333,-1.296516661,-1.562690045
0.636377778,-1.295200266,-1.562953026
0.653133333,-1.29651287,-1.562810582
0.669877778,-1.296828654,-1.562919589
0.686622222,-1.298482401,-1.562993965
0.703366667,-1.298757967,-1.563170828
0.720111111,-1.300138514,-1.562891764
0.736866667,-1.29848749,-1.564534805
0.753611111,-1.300125558,-1.564575498
0.770355556,-1.300643623,-1.564978351
0.7871,-1.301205189,-1.565814481
0.803855556,-1.301873384,-1.564586358
0.8206,-1.303352015,-1.564354118
0.837344444,-1.305555717,-1.564668313
0.854088889,-1.307355591,-1.564646123
0.870844444,-1.310519236,-1.562951624
0.887588889,-1.312261748,-1.562889619
0.904333333,-1.313650998,-1.562648282
0.921077778,-1.315832063,-1.563142248
0.937822222,-1.317090783,-1.562816459
0.954566667,-1.317192804,-1.562818696
0.971322222,-1.318355503,-1.562578795
0.988066667,-1.318003511,-1.563331
1.004811111,-1.318896362,-1.562818092
1.021555556,-1.320815835,-1.562879756
1.038311111,-1.320245812,-1.562598849
1.055055556,-1.320763144,-1.564548736
1.0718,-1.320404999,-1.564322326
1.088544444,-1.322156486,-1.564340841
1.1053,-1.322241145,-1.56609293
1.122044444,-1.320448007,-1.567584466
1.138788889,-1.322182242,-1.567784622
1.155533333,-1.323942168,-1.567819803
1.172277778,-1.323279172,-1.569938207
1.189033333,-1.324359689,-1.569800661
1.205777778,-1.323871244,-1.570954821
