t,x,y
0,-0.94834851,-1.788891175
0.016744444,-0.948879145,-1.789061612
0.033488889,-0.9500315,-1.787256254
0.050233333,-0.950525947,-1.787476281
0.066988889,-0.949687284,-1.788742824
0.083733333,-0.951803897,-1.789062457
0.100477778,-0.950279675,-1.790701546
0.117233333,-0.950213513,-1.790684083
0.133977778,-0.950436645,-1.790753965
0.150722222,-0.950229526,-1.790689187
0.167466667,-0.952273727,-1.790900314
0.184211111,-0.952490079,-1.790756754
0.200966667,-0.951782303,-1.790560848
0.217711111,-0.951873438,-1.790634222
0.234455556,-0.951802549,-1.790591607
0.2512,-0.952223992,-1.790754489
0.267955556,-0.953374364,-1.790558782
0.2847,-0.954610191,-1.788769606
0.301444444,-0.954954414,-1.787180926
0.3182,-0.953426812,-1.787104665
0.334933333,-0.953545378,-1.78547371
0.351688889,-0.955267262,-1.783871781
0.368433333,-0.954563057,-1.783557828
0.385177778,-0.955556796,-1.783900296
0.401922222,-0.957495601,-1.784009499
0.418666667,-0.95833033,-1.783779243
0.435422222,-0.958312275,-1.783630459
0.452166667,-0.960056405,-1.782180782
0.468911111,-0.960608611,-1.782246225
0.485666667,-0.960003727,-1.781991867
0.502411111,-0.960057768,-1.781931483
0.519155556,-0.95907273,-1.782251933
0.5359,-0.96068108,-1.782275035
0.552655556,-0.961673848,-1.782085424
0.5694,-0.958825184,-1.783832856
0.586144444,-0.96026586,-1.783877152
0.602888889,-0.957808127,-1.783548931
0.619633333,-0.960103336,-1.782187773
0.636377778,-0.959675978,-1.781978749
0.653133333,-0.958694388,-1.7822171
0.669877778,-0.958606246,-1.782072798
0.686622222,-0.958178274,-1.781848314
0.703366667,-0.960358244,-1.78061373
0.720122222,-0.958878553,-1.780508048
0.736866667,-0.958929296,-1.780550983
0.753611111,-0.958615918,-1.780436844
0.770355556,-0.958884154,-1.778958661
0.7871,-0.958190415,-1.778583841
0.803855556,-0.958628761,-1.780345254
0.8206,-0.956979317,-1.780320259
0.837344444,-0.959488521,-1.778526062
0.854088889,-0.958541906,-1.778637883
0.870833333,-0.958581862,-1.777126216
0.887588889,-0.960213113,-1.777100818
0.904333333,-0.959685371,-1.778486328
0.921077778,-0.958846166,-1.780474943
0.937822222,-0.958872704,-1.780534781
0.954577778,-0.958546616,-1.7803611
0.971322222,-0.960557243,-1.778908614
0.988066667,-0.960576808,-1.780487918
1.004811111,-0.963668458,-1.780481431
1.021566667,-0.965186005,-1.780464212
1.0383,-0.965830808,-1.780717896
1.055055556,-0.966902332,-1.780370576
1.0718,-0.967098909,-1.77869339
1.088555556,-0.968582688,-1.778593295
1.1053,-0.970504727,-1.778747758
1.122044444,-0.971859319,-1.778616946
1.138788889,-0.973492081,-1.778666159
1.155544444,-0.973861954,-1.780448264
1.172277778,-0.975083768,-1.781876816
1.189033333,-0.973263389,-1.781879808
1.205777778,-0.975414539,-1.780449555
1.222522222,-0.975474113,-1.782037075
1.239266667,-0.976950151,-1.781951021
1.256022222,-0.979865427,-1.781753268
1.272766667,-0.98228262,-1.78042678
1.289511111,-0.987619511,-1.77721699
1.306255556,-0.988789367,-1.77370106
1.323011111,-0.987764092,-1.770483283
1.339766667,-0.981206905,-1.770430492
1.3565,-0.976202028,-1.77224035
1.373244444,-0.965574162,-1.777079213
1.389988889,-0.953434559,-1.782145144
1.406733333,-0.942870669,-1.78862424
1.423488889,-0.934771843,-1.79227755
1.440233333,-0.9272677,-1.795465585
1.456977778,-0.922504897,-1.797406969
1.473722222,-0.917481126,-1.800565548
1.490477778,-0.909414194,-1.804042108
