t,x,y
0,-0.193650314,-2.00638909
0.016744444,-0.192295759,-2.006678135
0.0335,-0.193679773,-2.007706003
0.050244444,-0.191793162,-2.008089995
0.066988889,-0.190328983,-2.008215622
0.083744444,-0.192303163,-2.008140781
0.100477778,-0.19202184,-2.008189693
0.117233333,-0.191571131,-2.008268486
0.133977778,-0.191431722,-2.008241691
0.150722222,-0.191092134,-2.008291128
0.167466667,-0.19079858,-2.008209357
0.184211111,-0.191027297,-2.008046892
0.200955556,-0.192397866,-2.008011069
0.217722222,-0.190534384,-2.007979767
0.234455556,-0.192732312,-2.006566593
0.2512,-0.191057598,-2.006496587
0.267955556,-0.191590593,-2.006423516
0.2847,-0.193403169,-2.006448314
0.301444444,-0.193903414,-2.007735686
0.318188889,-0.192872815,-2.00788854
0.334944444,-0.19317138,-2.007900952
0.351688889,-0.193073018,-2.007931906
0.368433333,-0.192245661,-2.008877311
0.385177778,-0.193857677,-2.009484588
0.401922222,-0.193215036,-2.009423251
0.418666667,-0.193524587,-2.009515529
0.435422222,-0.192858318,-2.009656638
0.452166667,-0.191917307,-2.009691434
0.468911111,-0.192168295,-2.009670681
0.485655556,-0.191956423,-2.008467414
0.502411111,-0.192841764,-2.008210632
0.519155556,-0.19335726,-2.00811305
0.535933333,-0.193732013,-2.008006302
0.552644444,-0.193815749,-2.007792026
0.5694,-0.194089724,-2.007860058
0.586144444,-0.192157605,-2.007700244
0.602888889,-0.193415743,-2.007779189
0.619633333,-0.192948804,-2.007982495
0.636377778,-0.193358635,-2.008123268
0.653133333,-0.193321333,-2.008033029
0.669877778,-0.193389599,-2.007916587
0.686622222,-0.194302493,-2.006791868
0.703366667,-0.193232979,-2.006451859
0.720111111,-0.191846105,-2.006443546
0.736866667,-0.193809408,-2.006582722
0.753611111,-0.193821173,-2.0066873
0.770355556,-0.193687767,-2.006701248
0.787111111,-0.19434078,-2.006451331
0.803855556,-0.193799506,-2.005447331
0.8206,-0.193115808,-2.004842604
0.837344444,-0.193765641,-2.004920948
0.854088889,-0.195100569,-2.004900759
0.870844444,-0.196691945,-2.004831334
0.887588889,-0.196152566,-2.004825275
0.904333333,-0.196155241,-2.003905365
0.921088889,-0.1965813,-2.003439426
0.937822222,-0.198068956,-2.003363735
0.954577778,-0.200324735,-2.00332611
