t,x,y
1.004,-0.085548559,-2.017508485
1.02,-0.085204888,-2.016170535
1.037,-0.084845051,-2.016074456
1.054,-0.086509174,-2.015989573
1.071,-0.085975768,-2.016028046
1.087,-0.0860507,-2.015996637
1.104,-0.086319652,-2.016130936
1.121,-0.084438512,-2.016005576
1.138,-0.083745623,-2.016003548
1.154,-0.083528174,-2.014726999
1.171,-0.085440466,-2.014730723
1.188,-0.084996959,-2.014552278
1.205,-0.083615028,-2.01449875
1.221,-0.085484008,-2.014192709
1.238,-0.084855682,-2.013002181
1.255,-0.086476633,-2.01220997
1.272,-0.084488539,-2.012297331
1.288,-0.083906849,-2.01115698
1.305,-0.083365833,-2.011193147
1.322,-0.083249951,-2.010862323
1.339,-0.08391631,-2.010943318
1.355,-0.084084568,-2.009689792
1.372,-0.083754095,-2.008673203
1.389,-0.081903128,-2.008668014
1.405,-0.080301432,-2.009642936
1.422,-0.080385528,-2.00942856
1.439,-0.077347061,-2.009343826
1.456,-0.073249802,-2.008596664
1.472,-0.073219136,-2.008178097
1.489,-0.073665632,-2.008039229
1.506,-0.07486755,-2.00789041
1.523,-0.074477067,-2.007414025
1.539,-0.076059501,-2.00784575
1.556,-0.074058691,-2.00761352
1.573,-0.071653524,-2.007155561
1.59,-0.070567513,-2.007594884
1.606,-0.066264974,-2.007806932
1.623,-0.063868021,-2.006503349
1.64,-0.063037198,-2.006352719
1.657,-0.062483849,-2.006414683
1.673,-0.062887899,-2.005696134
1.69,-0.062380401,-2.006056068
1.707,-0.059877151,-2.006874456
1.724,-0.057123475,-2.007622987
1.74,-0.054361336,-2.008270335
1.757,-0.052649041,-2.007937198
1.774,-0.047467482,-2.007711624
1.791,-0.044536717,-2.006568094
1.807,-0.043010018,-2.006477953
1.824,-0.042160911,-2.006442104
1.841,-0.040136123,-2.006707957
1.858,-0.03973946,-2.007742251
1.874,-0.038542449,-2.008031649
1.891,-0.036341837,-2.007898033
1.908,-0.030223978,-2.007868824
1.925,-0.029078791,-2.007974164
1.941,-0.025926778,-2.007949531
1.958,-0.022540052,-2.00772371
1.975,-0.020866877,-2.007794939
1.992,-0.017985066,-2.007850054
2.008,-0.016230764,-2.008103487
2.025,-0.013812384,-2.008200641
2.042,-0.012855917,-2.008259354
2.059,-0.008867858,-2.007987589
2.075,-0.007236258,-2.008043568
2.092,-0.003101772,-2.008557269
2.109,-2.22E-04,-2.008391238
2.126,0.00323726,-2.007999489
2.142,0.005035345,-2.008087377
2.159,0.006800071,-2.008162426
2.176,0.007533502,-2.008336734
2.193,0.010718275,-2.008502166
2.209,0.012877032,-2.009301677
2.226,0.017480861,-2.009984509
2.243,0.018913745,-2.009797672
2.26,0.022907143,-2.009982692
2.276,0.024799355,-2.010267257
2.293,0.02597316,-2.011182532
2.31,0.029323821,-2.011410288
2.327,0.030591747,-2.011361451
2.343,0.032210581,-2.011399638
2.36,0.033532321,-2.011184916
2.377,0.036521664,-2.011289632
2.394,0.038502398,-2.01141108
2.41,0.04106634,-2.012398496
2.427,0.042622845,-2.012652337
2.444,0.046399082,-2.012914555
2.461,0.047184015,-2.012702523
2.477,0.048121589,-2.013218699
2.494,0.049540928,-2.014539235
2.511,0.049520001,-2.014663052
2.528,0.052926196,-2.015902329
2.544,0.054504822,-2.016089513
2.561,0.057533127,-2.016262718
2.578,0.057854099,-2.017462508
2.595,0.056783416,-2.017127738
2.611,0.058763636,-2.017785599
2.628,0.061453921,-2.017894307
2.645,0.061143165,-2.017714608
2.662,0.059249206,-2.017691223
2.678,0.059730047,-2.017663424
2.695,0.060991114,-2.017693539
2.712,0.062962471,-2.017752726
2.729,0.063890095,-2.019184946
2.745,0.06538675,-2.019507237
2.762,0.064944829,-2.020379092
2.779,0.064125964,-2.020840864
2.795,0.063227463,-2.021759211
2.812,0.062195561,-2.022312302
2.829,0.062637472,-2.022788053
2.846,0.060457358,-2.023399676
2.862,0.060889062,-2.02376948
2.879,0.061715577,-2.02248089
2.896,0.062437729,-2.022567292
2.913,0.060866633,-2.023583027
2.929,0.060931079,-2.023911482
2.946,0.059164579,-2.025089592
2.963,0.058056904,-2.025437704
2.98,0.056704266,-2.025246066
2.996,0.054745164,-2.025143029
3.013,0.054588675,-2.025648569
3.03,0.054536985,-2.02579386
3.047,0.054073387,-2.025693394
3.063,0.052668304,-2.025752499
3.08,0.051666496,-2.025592761
3.097,0.050742964,-2.025662282
3.114,0.048701688,-2.025816771
3.13,0.045660455,-2.02657722
3.147,0.043537496,-2.027136318
3.164,0.044479311,-2.027064755
3.181,0.04109791,-2.026961469
3.197,0.039494504,-2.027042904
3.214,0.038535486,-2.02700558
3.231,0.037027867,-2.026830063
3.248,0.034230452,-2.026969652
3.264,0.031377637,-2.027007476
3.281,0.030870032,-2.026830514
3.298,0.027876747,-2.026695968
3.315,0.024240611,-2.025693223
3.331,0.022708547,-2.025743313
3.348,0.019913484,-2.026575559
3.365,0.018684024,-2.026897491
3.382,0.01736216,-2.026798181
3.398,0.016158564,-2.027347648
3.415,0.014764055,-2.027243418
3.432,0.011314015,-2.027266862
3.449,0.006093426,-2.027419604
3.465,0.005001668,-2.027153063
3.482,0.002333067,-2.027229115
3.499,0.001008573,-2.027046018
3.516,-0.002343299,-2.026428565
3.532,-0.004497443,-2.026447868
3.549,-0.005494992,-2.026693594
3.566,-0.01020485,-2.027037172
3.583,-0.013354303,-2.027076438
