t,x,y
0,-1.253293768,-1.598135871
0.016755556,-1.254320954,-1.598025459
0.0335,-1.255065649,-1.598202578
0.050244444,-1.255702847,-1.598326033
0.066988889,-1.257182105,-1.596823986
0.083733333,-1.257037074,-1.598020078
0.100477778,-1.259804125,-1.598018036
0.117233333,-1.26046756,-1.599604784
0.150722222,-1.261557311,-1.600714839
0.167466667,-1.262128923,-1.603015265
0.184222222,-1.260503896,-1.60473894
0.200966667,-1.263114895,-1.606227352
0.217711111,-1.263371534,-1.608273377
0.234455556,-1.264573703,-1.610094789
0.251211111,-1.264529793,-1.611626343
0.267955556,-1.265906469,-1.613335966
0.2847,-1.266450002,-1.612867297
0.301455556,-1.266675209,-1.612010427
0.318188889,-1.268933736,-1.612444951
0.334944444,-1.267711874,-1.611806474
0.351688889,-1.268602254,-1.610430897
0.368444444,-1.267980216,-1.609432407
0.385177778,-1.268542464,-1.60869254
0.401933333,-1.26834389,-1.608446916
0.418677778,-1.266258151,-1.609752409
0.435422222,-1.267361056,-1.611547575
0.452166667,-1.267133722,-1.612140679
0.468911111,-1.268033416,-1.611871652
0.485655556,-1.26658497,-1.613520487
0.502411111,-1.266669559,-1.615452958
0.519155556,-1.265813449,-1.617124549
0.5359,-1.266135988,-1.618417713
0.552644444,-1.265359735,-1.620029424
0.5694,-1.263545572,-1.620420755
0.586144444,-1.263127268,-1.619835503
0.602888889,-1.263423167,-1.620001442
0.619633333,-1.262582521,-1.62014737
0.636377778,-1.26205047,-1.620780672
0.653133333,-1.260248603,-1.62038269
0.669877778,-1.259940156,-1.620660416
0.686622222,-1.258528091,-1.621984795
0.703377778,-1.255548333,-1.622021306
0.720122222,-1.256765103,-1.622013836
0.736866667,-1.256941786,-1.622394111
0.753611111,-1.256606421,-1.624170646
0.770355556,-1.25679587,-1.62565643
0.7871,-1.25652529,-1.625596478
0.803855556,-1.256622251,-1.625661019
0.8206,-1.256150192,-1.625306947
0.837344444,-1.256035576,-1.625312526
0.854088889,-1.256456077,-1.625371941
0.870844444,-1.255280158,-1.625556453
0.887588889,-1.255728029,-1.625595935
0.904333333,-1.256751933,-1.625357631
0.921077778,-1.254925727,-1.623628362
0.937833333,-1.25514361,-1.623386018
0.954577778,-1.255251493,-1.62370703
0.971322222,-1.254998892,-1.625208946
0.988066667,-1.254625982,-1.625010021
1.004822222,-1.254296716,-1.624947735
1.021566667,-1.251679723,-1.625146691
1.038311111,-1.25254566,-1.623588026
1.055055556,-1.253218436,-1.62383224
1.0718,-1.251935875,-1.623601449
1.088544444,-1.251816726,-1.622149038
1.1053,-1.251502346,-1.620933307
