grados,t_exp,t_teo
20,2.419,62.68958377
22,2.562,74.22446719
26,2.694,86.76238394
28,2.671,100.303334
30,2.662,114.8473175
32,2.83,130.3943342
34,2.83,146.9443844
36,2.604,164.4974678
38,2.729,183.0535846
40,2.512,202.6127348
